subject_name,course_name,course_url
Engineering Courses,Engineering Systems in Motion: Dynamics of Particles and Bodies in 2D Motion,https://www.classcentral.com/course/dynamics-7788
Engineering Courses,Advanced Engineering Systems in Motion: Dynamics of Three Dimensional (3D) Motion,https://www.classcentral.com/course/3dmotion-2064
Engineering Courses,Robotics: Aerial Robotics,https://www.classcentral.com/course/robotics-flight-5025
Engineering Courses,Mechanics of Materials II: Thin-Walled Pressure Vessels and Torsion,https://www.classcentral.com/course/mechanics2-5385
Engineering Courses,Mastering Statics,https://www.classcentral.com/course/mastering-statics-13737
Engineering Courses,Circuits and Electronics (Spring 2007),https://www.classcentral.com/course/mit-opencourseware-circuits-and-electronics-spring-2007-40933/classroom
Engineering Courses,The Art of Structural Engineering: Vaults,https://www.classcentral.com/course/edx-the-art-of-structural-engineering-vaults-12040
Engineering Courses,Fundamentals of Photovoltaics (Fall 2013),https://www.classcentral.com/course/mit-opencourseware-fundamentals-of-photovoltaics-fall-2013-40971/classroom
Engineering Courses,Robotics: Computational Motion Planning,https://www.classcentral.com/course/robotics-computation-5029
Data Science Courses,Introduction to Computational Thinking and Data Science,https://www.classcentral.com/course/edx-introduction-to-computational-thinking-and-data-science-1779
Data Science Courses,Julia Scientific Programming,https://www.classcentral.com/course/julia-programming-7092
Data Science Courses,Statistical Inference,https://www.classcentral.com/course/statinference-1717
Data Science Courses,Regression Models,https://www.classcentral.com/course/regmods-1718
Data Science Courses,Statistics and R,https://www.classcentral.com/course/edx-statistics-and-r-2960
Data Science Courses,Introduction to Big Data,https://www.classcentral.com/course/intro-to-big-data-4164
Data Science Courses,Data Visualization,https://www.classcentral.com/course/datavisualization-2737
Data Science Courses,Pattern Discovery in Data Mining,https://www.classcentral.com/course/patterndiscovery-2733
Data Science Courses,Finding Hidden Messages in DNA (Bioinformatics I),https://www.classcentral.com/course/hiddenmessages-3289
Data Science Courses,Python for Genomic Data Science,https://www.classcentral.com/course/genpython-3476
Data Science Courses,Probability and Statistics in Data Science using Python,https://www.classcentral.com/course/edx-probability-and-statistics-in-data-science-using-python-8213
Data Science Courses,Making Sense of Data in the Media,https://www.classcentral.com/course/media-data-4925
Data Science Courses,Reproducible Research,https://www.classcentral.com/course/repdata-1716
Data Science Courses,Introduction to Transforming with Data Analytics and the Digital Organization,https://www.classcentral.com/course/edx-introduction-to-transforming-with-data-analytics-and-the-digital-organization-21480
Data Science Courses,A Crash Course in Data Science,https://www.classcentral.com/course/data-science-crash-course-4392
Science Courses,Industrial Pharmacy-I,https://www.classcentral.com/course/swayam-industrial-pharmacy-i-14123
